Valuation Date,Curve Name,Date,Value,Label
2014-06-19,AED-3ME,2014-12-19,0.007125344939119493,6M
2014-06-19,AED-3ME,2016-06-19,0.010822054600850608,2Y
2014-06-19,AED-3ME,2015-06-19,0.008608860621644752,1Y
2014-06-19,AED-3ME,2014-09-19,0.007206984935627164,3M
2014-06-19,AED-3ME,2024-06-19,0.036854492437966166,10Y
2014-06-19,AED-3ME,2014-07-19,0.004286575341052446,1M
2014-06-21,AED-3ME,2021-06-21,0.029836452493646838,7Y
2014-06-21,AED-3ME,2015-03-21,0.0069794502237619585,9M
2014-06-21,AED-3ME,2019-06-21,0.023474495524324464,5Y
2014-06-21,AED-3ME,2018-06-21,0.0195772369433986,4Y
2014-06-21,AED-3ME,2017-06-21,0.015194498835838413,3Y
2014-06-21,AED-3ME,2014-12-21,0.007125344939119381,6M
2014-06-21,AED-3ME,2016-06-21,0.010848834517920802,2Y
2014-06-21,AED-3ME,2015-06-21,0.008529277268170694,1Y
2014-06-21,AED-3ME,2014-09-21,0.007206984935627202,3M
2014-06-21,AED-3ME,2024-06-21,0.03664714034878592,10Y
2014-06-21,AED-3ME,2014-07-21,0.004286575341051173,1M
2014-06-23,AED-3ME,2021-06-23,0.029932195089063775,7Y
2014-06-23,AED-3ME,2015-03-23,0.007011586275910902,9M
2014-06-23,AED-3ME,2019-06-23,0.02366568267084387,5Y
2014-06-23,AED-3ME,2018-06-23,0.019755069022471174,4Y
2014-06-23,AED-3ME,2017-06-23,0.015408746061058447,3Y
2014-06-23,AED-3ME,2014-12-23,0.007124540668109348,6M
2014-06-23,AED-3ME,2016-06-23,0.010985400943128821,2Y
2014-06-23,AED-3ME,2015-06-23,0.008591327348728297,1Y
2014-06-23,AED-3ME,2014-09-23,0.007202297163474088,3M
2014-06-23,AED-3ME,2024-06-23,0.03685305436445709,10Y
2014-06-23,AED-3ME,2014-07-23,0.004214107606023718,1M
2014-06-24,AED-3ME,2021-06-24,0.029523924866407432,7Y
2014-06-24,AED-3ME,2015-03-24,0.007110635945253504,9M
2014-06-24,AED-3ME,2019-06-24,0.02345629012191242,5Y
2014-06-24,AED-3ME,2018-06-24,0.019651218558661837,4Y
2014-06-24,AED-3ME,2017-06-24,0.015394855028424255,3Y
2014-06-24,AED-3ME,2014-12-24,0.007172959082535058,6M
2014-06-24,AED-3ME,2016-06-24,0.011012714829536516,2Y
2014-06-24,AED-3ME,2015-06-24,0.008776696191227283,1Y
2014-06-24,AED-3ME,2014-09-24,0.007202297163474484,3M
2014-06-24,AED-3ME,2024-06-24,0.036418516789061814,10Y
2014-06-24,AED-3ME,2014-07-24,0.004214107606022747,1M
2014-06-25,AED-3ME,2021-06-25,0.0293115240091674,7Y
2014-06-25,AED-3ME,2015-03-25,0.007076917132660007,9M
2014-06-25,AED-3ME,2019-06-25,0.023255443392688722,5Y
2014-06-25,AED-3ME,2018-06-25,0.01944999255930433,4Y
2014-06-25,AED-3ME,2017-06-25,0.015092662937052536,3Y
2014-06-25,AED-3ME,2014-12-25,0.007124540668109443,6M
2014-06-25,AED-3ME,2016-06-25,0.010849206193576284,2Y
2014-06-25,AED-3ME,2015-06-25,0.008664700525285708,1Y
2014-06-25,AED-3ME,2014-09-25,0.007202297163474291,3M
2014-06-25,AED-3ME,2024-06-25,0.0362144067821623,10Y
2014-06-25,AED-3ME,2014-07-25,0.004214107606025013,1M
2014-06-26,AED-3ME,2021-06-26,0.029077856149949236,7Y
2014-06-26,AED-3ME,2015-03-26,0.007044252111910352,9M
2014-06-26,AED-3ME,2019-06-26,0.022923227122141492,5Y
2014-06-26,AED-3ME,2018-06-26,0.019118649954276392,4Y
2014-06-26,AED-3ME,2017-06-26,0.014864754302559775,3Y
2014-06-26,AED-3ME,2014-12-26,0.007124540668109564,6M
